B64009,1
B64249,2
B64239,3
B64209,4
B63071,5
B63081,6
B63091,7
B63101,8
B62231,9
B62241,10
B71051,11
B71029,12
B71179,13
B70149,14
B70139,15
B70129,16
B70119,17
B70109,18
B60219,19
B60089,20
B52089,21
B52079,22
B51099,23
B40249,24
B40239,25
B40091,26
B41011,27
B41021,28
B41031,29
B41041,30
B41051,31
B41061,32
B41071,33
B41081,34
B42011,35
B42021,36
B42031,37
B42041,38
B42051,39
B42061,40
B42149,41
B12109,42
B12099,43
B12089,44
B12079,45
B12069,46
B17119,47
B17109,48
B17099,49
B16161,50
B16171,51
B16181,52
B16191,53
B16009,54
